"Date" "GDD"
"2021-12-08" 3.33
"2021-12-09" 6.66
"2021-12-10" 9.99
"2021-12-11" 13.32
"2021-12-12" 16.65
"2021-12-13" 19.98
"2021-12-14" 23.31
"2021-12-15" 26.64
"2021-12-16" 29.97
"2021-12-17" 33.3
"2021-12-18" 36.63
"2021-12-19" 39.96
"2021-12-20" 43.29
"2021-12-21" 46.62
"2021-12-22" 49.95
"2021-12-23" 53.28
"2021-12-24" 56.61
"2021-12-25" 59.94
"2021-12-26" 63.27
"2021-12-27" 66.6
"2021-12-28" 69.93
"2021-12-29" 73.26
"2021-12-30" 76.59
"2021-12-31" 79.92
"2022-01-01" 83.25
"2022-01-02" 86.58
"2022-01-03" 89.91
"2022-01-04" 93.24
"2022-01-05" 96.57
"2022-01-06" 99.9
"2022-01-07" 103.23
"2022-01-08" 106.56
"2022-01-09" 109.89
"2022-01-10" 113.22
"2022-01-11" 116.55
"2022-01-12" 119.88
"2022-01-13" 123.21
"2022-01-14" 126.54
"2022-01-15" 129.87
"2022-01-16" 133.2
"2022-01-17" 136.53
"2022-01-18" 139.86
"2022-01-19" 143.19
"2022-01-20" 146.52
"2022-01-21" 149.85
"2022-01-22" 153.18
"2022-01-23" 156.51
"2022-01-24" 159.84
"2022-01-25" 163.17
"2022-01-26" 166.5
"2022-01-27" 169.83
"2022-01-28" 173.16
"2022-01-29" 176.49
"2022-01-30" 179.82
"2022-01-31" 183.15
"2022-02-01" 186.48
"2022-02-02" 189.81
"2022-02-03" 198.14
"2022-02-04" 206.47
"2022-02-05" 214.8
"2022-02-06" 223.13
"2022-02-07" 231.46
"2022-02-08" 239.79
"2022-02-09" 248.12
"2022-02-10" 256.45
"2022-02-11" 264.78
"2022-02-12" 273.11
"2022-02-13" 281.44
"2022-02-14" 289.77
"2022-02-15" 298.1
"2022-02-16" 306.43
"2022-02-17" 314.76
"2022-02-18" 323.09
