"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"01_Abies_France_Corse" "01" "France Corse" 0.999942 0.0596992 0.107666 0.168287 FALSE "Abies_France_Corse" 0.16 8 TRUE 0.707364225782588 0.519044531799722 0.393495804590186 0.3071313378966 0.246037718339947 0.201728796148083 0.168869163561957 0.144010378577816 0.12486670807532 0.109887770485058 0.097999512871863 0.0884432903829325 0.0806735884061311 0.0742916329230625 0.0690014472650733 0.0645802348463846 0.0608580787907097 0.0581947294557366 0.0554344756200111 0.0530710999552364
"01_Abies_France_Haute_Provence" "01" "France Haute Provence" 0.160321 0.025001 0.000163517 0.207745 FALSE "Abies_France_Haute_Provence" 0.14 7 TRUE 0.141259263799471 0.124466626714288 0.109672654298251 0.0966391811900884 0.0851564560993734 0.0769619127890174 0.0678199082325026 0.0597651465291313 0.0526681694100632 0.0464149515831617 0.0419519779530167 0.0369725251032362 0.0325848121256788 0.0287184348111638 0.0253113755047736 0.0223090029119204 0.0201659405093409 0.0177746014119515 0.015667174774665 0.0138099126861606
"01_Abies_France_Massif_Central_West" "01" "France Massif Central West" 0.999893 0.0412282 2.46816e-05 0.184291 FALSE "Abies_France_Massif_Central_West" 0.16 8 TRUE 0.776688406719226 0.629255331929069 0.488793931096463 0.396014017072063 0.307620352123859 0.249232394266042 0.201927764589302 0.156858731183974 0.127088108722794 0.0987240997378241 0.0799878589262314 0.0621366653037256 0.0503446704858584 0.0407907026156202 0.0316878817183817 0.0256747108906522 0.0199454201124114 0.0161607016251269 0.0125546162443139 0.0101724399688643
"01_Abies_France_Pyrenees" "01" "France Pyrenees" 0.999693 0.0369562 0.00224605 0.191377 FALSE "Abies_France_Pyrenees" 0.16 8 TRUE 0.797798435533611 0.66137089738707 0.548498135228211 0.455075031537389 0.363920515863306 0.302206714452484 0.251060385984219 0.208654807176659 0.167201651868163 0.139083896798563 0.115741206143362 0.096354862411254 0.0802478409725328 0.0644665270423331 0.0537372736696283 0.044811536528918 0.0373832030255283 0.0300917631022769 0.0251253653570773 0.0209869041490873
"01_Abies_Georgia_Ambrolauri" "01" "Georgia Ambrolauri" 0.161436 0.00834486 0.000280597 0.198874 FALSE "Abies_Georgia_Ambrolauri" 0.14 7 TRUE 0.153521312323431 0.147224872034347 0.141188326986641 0.135400881713761 0.129852191969273 0.124532345750873 0.119431845127274 0.114541588833816 0.109852855604078 0.105357288206182 0.101046878153809 0.0969139510632591 0.0929511526290683 0.0891514351919132 0.0855080448736294 0.0820145092552592 0.0786646255750685 0.0754524494244584 0.0723722839206404 0.0694186693358459
"01_Abies_Germany_Traunstein" "01" "Germany Traunstein" 0.999924 0.0687093 0.157312 0.136205 FALSE "Abies_Germany_Traunstein" 0.102040816326531 5 TRUE 0.596806792933101 0.407096070663492 0.280950052572008 0.213339758071241 0.168442454180096 0.133907443606123 0.112911720769366 0.0975210242127393 0.0845749827538123 0.076072437461512 0.0694486271161053 0.0635603938170874 0.0595044119738042 0.0562233384593852 0.0532049261537427 0.0510634237659099 0.0492900599753602 0.0476235217744015 0.0464192413661797 0.0454073648170992
"01_Abies_Italy_Lavarone_Trento" "01" "Italy Lavarone Trento" 0.999997 0.0375581 0.0197741 0.171679 FALSE "Abies_Italy_Lavarone_Trento" 0.14 7 TRUE 0.796975315025333 0.638139208583451 0.51329618158114 0.414725995029398 0.336553857770624 0.283719047541455 0.232040042180807 0.190558059935368 0.157124667567446 0.130070138355273 0.108091443118658 0.0929097344785594 0.0777437751656785 0.0652910218516102 0.0550290327966295 0.0465423930289946 0.0394995803310528 0.0345402842678104 0.0294928139041171 0.0252643349065755
"01_Abies_Poland_Sudety" "01" "Poland Sudety" NA NA NA NA FALSE "Abies_Poland_Sudety" 0.06 3 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Abies_Romania_SE_Carpathians" "01" "Romania SE Carpathians" 0.999608 0.0257902 8.10112e-05 0.165077 FALSE "Abies_Romania_SE_Carpathians" 0.18 9 TRUE 0.832533055704415 0.711747803995147 0.608494027040391 0.52022597979477 0.444767748010334 0.380259497707055 0.325111540088533 0.277965075019839 0.237658641635191 0.203199446005271 0.173738856576161 0.148551461291494 0.127017168487183 0.108605908991492 0.0928645612412149 0.079405776233823 0.0678984261397886 0.0565642770431247 0.0483684118429224 0.041360610543961
"01_Abies_Slovakia_North_Region" "01" "Slovakia North Region" 0.999125 0.0565286 0.16377 0.136836 FALSE "Abies_Slovakia_North_Region" 0.2 10 TRUE 0.656297969837894 0.481622063895615 0.369995805791469 0.286988480744611 0.237951418083629 0.202797615130037 0.173816974545608 0.155113245237465 0.14074535932341 0.128139654924721 0.119558446919305 0.11268497991325 0.106422454271441 0.102019266057382 0.0984016258581052 0.0954121846910679 0.092610587960423 0.0905927061070629 0.0889030619586885 0.0873005477022539
