"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"01_Fagus_Austria_Randgebirge_South" "01" "Austria Randgebirge South" NA NA NA NA FALSE "Fagus_Austria_Randgebirge_South" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Fagus_France_Massif_Armoricain" "01" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Fagus_France_Massif_Central_North" "01" "France Massif Central North" NA NA NA NA TRUE "Fagus_France_Massif_Central_North" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Fagus_Iran_Alborz_Mountains" "01" "Iran Alborz Mountains" 1 0.0548479 0.0802668 0.0844748 FALSE "Fagus_Iran_Alborz_Mountains" 0.18 18 TRUE 0.523552593843383 0.288693340431827 0.166949058811691 0.100858904959118 0.0634283035751865 0.0413881714843528 0.028832893971704 0.0200292752107557 0.0143212531182852 0.0105154796028517 0.00791198905926052 0.00608839334449668 0.00487651464043781 0.00389862203440248 0.00317229730541896 0.00262354875388192 0.00220240581060443 0.00187449355182987 0.00163512889281623 0.00142464558627906
"01_Fagus_Italy_Passo_Fittanze" "01" "Italy Passo Fittanze" 0.998259 0.0409969 2.97899e-07 0.107501 FALSE "Fagus_Italy_Passo_Fittanze" 0.16 8 TRUE 0.656815476451579 0.450633586257132 0.309174583824978 0.203424892161614 0.139567540049028 0.0957557366181191 0.0630035872330915 0.0432260704409127 0.0296569362955341 0.0195131295021816 0.0133877488317892 0.00918519188007339 0.00630186301591288 0.00414638687549309 0.0028447928533888 0.00195178296650187 0.00128419966569891 0.000881076320508296 0.000604497563252289 0.000397736776855866
"01_Fagus_Romania_SE_Carpathians" "01" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Fagus_Slovakia_Middle_Region" "01" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"01_Fagus_Slovenia_Dinarsko" "01" "Slovenia Dinarsko" 0.99988 0.0333349 3.58288e-09 0.0791059 FALSE "Fagus_Slovenia_Dinarsko" 0.28 14 TRUE 0.643481985384945 0.414118760450153 0.275700389029934 0.17742952610409 0.114186406832034 0.0760198279633817 0.0489232610902019 0.031485015735717 0.0209612120805393 0.0134897813347938 0.00868147319257742 0.00577970813480433 0.00371958448749586 0.00247632081636652 0.00159365911029522 0.0010256140267595 0.000682804593867737 0.000439425198718516 0.000282796143028235 0.000188272099844859
"01_Fagus_Switzerland_Salenstein" "01" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Austria_Randgebirge_South" "03" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_France_Massif_Armoricain" "03" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_France_Massif_Central_North" "03" "France Massif Central North" NA NA NA NA TRUE "Fagus_France_Massif_Central_North" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Iran_Alborz_Mountains" "03" "Iran Alborz Mountains" NA NA NA NA TRUE "Fagus_Iran_Alborz_Mountains" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Italy_Passo_Fittanze" "03" "Italy Passo Fittanze" NA NA NA NA TRUE "Fagus_Italy_Passo_Fittanze" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Romania_SE_Carpathians" "03" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Slovakia_Middle_Region" "03" "Slovakia Middle Region" NA NA NA NA TRUE "Fagus_Slovakia_Middle_Region" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Slovenia_Dinarsko" "03" "Slovenia Dinarsko" NA NA NA NA TRUE "Fagus_Slovenia_Dinarsko" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Fagus_Switzerland_Salenstein" "03" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_Austria_Randgebirge_South" "04" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_France_Massif_Armoricain" "04" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.0204081632653061 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_France_Massif_Central_North" "04" "France Massif Central North" 0.999978 0.0820009 0.0568814 0.0745634 FALSE "Fagus_France_Massif_Central_North" 0.12 6 TRUE 0.313818985694521 0.113862075368961 0.0406987740665856 0.0165429629125292 0.00663398866559303 0.00298153705719343 0.00140052454843938 0.000650289493787387 0.000332198627016628 0.00016794168429301 9.24166029425227e-05 5.25489473264187e-05 2.96149761193104e-05 1.79215041571409e-05 1.07588825805706e-05 6.88087544463825e-06 4.50925722529588e-06 2.93503922287649e-06 2.01476621688302e-06 1.37464428532647e-06
