SeedID,germ.trays,Species,Provenance,Treatment,Germination.day,germinated.or.not,germday.nas
C1_ph1_Seed16,C1_ph1,Abies alba,Croatia Crni Lazi,dry,23,1,23
C1_ph1_Seed12,C1_ph1,Abies alba,Croatia Crni Lazi,dry,36,1,36
C1_ph1_Seed20,C1_ph1,Abies alba,Croatia Crni Lazi,dry,36,1,36
C1_ph1_Seed8,C1_ph1,Abies alba,Croatia Crni Lazi,dry,40,1,40
C1_ph1_Seed88,C1_ph1,Abies alba,Croatia Crni Lazi,dry,54,1,54
C1_ph1_Seed2,C1_ph1,Abies alba,Croatia Crni Lazi,dry,57,1,57
C1_ph1_Seed66,C1_ph1,Abies alba,Croatia Crni Lazi,dry,57,1,57
C1_ph1_Seed28,C1_ph1,Abies alba,Croatia Crni Lazi,dry,61,1,61
C1_ph1_Seed24,C1_ph1,Abies alba,Croatia Crni Lazi,dry,64,1,64
C1_ph1_Seed70,C1_ph1,Abies alba,Croatia Crni Lazi,dry,64,1,64
C1_ph1_Seed77,C1_ph1,Abies alba,Croatia Crni Lazi,dry,64,1,64
C1_ph1_Seed63,C1_ph1,Abies alba,Croatia Crni Lazi,dry,68,1,68
C1_ph1_Seed26,C1_ph1,Abies alba,Croatia Crni Lazi,dry,71,1,71
C1_ph1_Seed48,C1_ph1,Abies alba,Croatia Crni Lazi,dry,71,1,71
C1_ph1_Seed69,C1_ph1,Abies alba,Croatia Crni Lazi,dry,71,1,71
C1_ph1_Seed82,C1_ph1,Abies alba,Croatia Crni Lazi,dry,71,1,71
C1_ph1_Seed1,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed10,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed100,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed11,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed13,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed14,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed15,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed17,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed18,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed19,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed21,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed22,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed23,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed25,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed27,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed29,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed3,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed30,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed31,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed32,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed33,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed34,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed35,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed36,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed37,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed38,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed39,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed4,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed40,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed41,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed42,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed43,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed44,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed45,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed46,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed47,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed49,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed5,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed50,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed51,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
C1_ph1_Seed52,C1_ph1,Abies alba,Croatia Crni Lazi,dry,72,0,NA
